Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
CJ Elleby,SF,21,POR,51,21,19.1,2.0,5.0,.398,0.6,1.9,.293,1.4,3.1,.465,.455,1.0,1.4,.725,1.2,2.7,3.8,1.4,0.6,0.3,1.0,2.0,5.5,9.4,.494,.387,.270,6.5,15.9,11.0,10.1,1.5,1.6,14.6,14.9,0.0,0.4,0.4,.020,-3.7,-1.5,-5.2,-0.8,"$1,517,981"
CJ McCollum,SG,30,TOT,55,55,35.2,8.8,19.1,.460,3.0,7.8,.384,5.8,11.3,.512,.538,1.9,2.6,.713,0.9,3.6,4.5,5.2,1.1,0.4,2.0,2.0,22.4,18.5,.553,.407,.136,2.7,11.5,7.0,26.3,1.5,1.1,9.1,27.3,2.7,0.8,3.5,.087,3.4,-1.2,2.2,2.0,"$30,864,198"
Cade Cunningham,PG,20,DET,59,59,32.8,6.6,16.0,.412,1.8,5.7,.319,4.8,10.3,.465,.469,2.1,2.5,.838,1.0,4.8,5.7,5.6,1.2,0.7,3.6,3.1,17.2,12.9,.500,.358,.156,3.0,16.5,9.4,28.9,1.8,1.9,17.5,27.2,-2.2,1.8,-0.4,-0.010,-1.1,-0.5,-1.6,0.2,"$10,050,120"
Caleb Martin,SF,26,MIA,57,10,22.7,3.5,6.8,.512,1.1,2.5,.414,2.4,4.3,.570,.589,1.2,1.6,.767,1.2,2.6,3.9,1.1,1.0,0.5,0.8,1.7,9.2,15.3,.615,.373,.231,6.1,13.0,9.6,7.3,2.2,2.1,9.9,16.4,2.1,1.9,4.0,.148,0.4,0.9,1.3,1.1,"$527,614"
Cam Reddish,SF,22,TOT,49,7,20.7,3.4,8.3,.404,1.3,3.8,.359,2.0,4.6,.442,.485,2.1,2.3,.902,0.5,1.6,2.1,1.0,1.0,0.3,1.2,1.2,10.1,12.9,.543,.451,.275,2.7,8.6,5.7,7.0,2.3,1.4,11.1,22.2,0.2,0.7,1.0,.045,-1.0,-0.4,-1.4,0.2,"$4,670,160"
Cam Thomas,SG,20,BRK,62,2,18.1,3.4,7.8,.434,0.7,2.7,.266,2.7,5.1,.524,.480,1.3,1.5,.840,0.3,2.1,2.4,1.2,0.5,0.1,0.8,1.0,8.8,12.0,.518,.348,.193,1.6,12.7,7.2,10.0,1.4,0.6,8.8,22.2,0.0,0.7,0.8,.033,-1.7,-1.5,-3.2,-0.3,"$2,036,280"
Cameron Johnson,PF,25,PHO,60,13,26.3,4.4,9.2,.475,2.7,5.9,.448,1.7,3.2,.526,.620,1.5,1.7,.873,0.6,3.5,4.1,1.5,0.8,0.2,0.6,1.7,12.8,16.2,.648,.647,.186,2.5,13.9,8.4,7.6,1.5,0.8,5.7,17.2,3.6,2.2,5.8,.175,2.8,0.8,3.6,2.2,"$4,437,000"
Cameron Payne,PG,27,PHO,53,11,22.3,4.2,10.3,.409,1.2,3.7,.340,3.0,6.6,.447,.470,1.4,1.7,.843,0.4,2.5,2.9,4.8,0.7,0.3,1.8,2.1,11.1,13.9,.502,.356,.163,2.0,11.9,7.1,30.0,1.4,1.2,13.9,24.8,0.3,1.6,1.9,.076,-0.3,0.2,0.0,0.6,"$6,500,000"
Caris LeVert,SG,27,TOT,51,42,30.4,6.6,15.1,.438,1.5,4.5,.319,5.2,10.6,.490,.486,2.5,3.3,.744,0.7,2.9,3.6,4.2,0.9,0.4,1.9,2.3,17.2,15.1,.518,.301,.218,2.7,10.6,6.6,22.3,1.4,1.2,10.1,26.1,0.9,0.9,1.7,.053,0.1,-1.3,-1.3,0.3,"$17,500,000"
Carmelo Anthony,PF,37,LAL,65,3,26.2,4.6,10.4,.445,2.2,5.8,.385,2.4,4.6,.520,.552,2.0,2.4,.831,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.5,15.0,.588,.560,.227,3.7,13.4,8.6,5.5,1.2,2.7,7.1,20.2,2.3,1.4,3.7,.105,0.6,-0.8,-0.3,0.8,"$2,641,691"
Cedi Osman,SF,26,CLE,60,3,22.4,3.7,8.9,.422,1.9,5.5,.349,1.8,3.3,.543,.531,1.3,1.9,.655,0.4,1.8,2.1,2.0,0.8,0.1,1.0,1.9,10.7,12.8,.550,.625,.218,1.9,8.5,5.3,13.8,1.9,0.5,9.3,21.2,0.9,1.5,2.5,.089,-0.6,0.6,-0.1,0.7,"$8,050,000"
Charles Bassey,PF,21,PHI,23,0,7.3,1.3,2.0,.638,0.0,0.2,.000,1.3,1.9,.698,.638,0.4,0.5,.750,1.0,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3.0,21.6,.660,.085,.255,14.8,26.1,20.5,6.6,1.5,9.1,13.3,16.1,0.4,0.3,0.8,.222,-0.3,2.2,1.9,0.2,"$925,258"
Chimezie Metu,C,24,SAC,54,20,21.0,3.3,7.4,.444,0.9,3.2,.297,2.3,4.2,.555,.508,1.2,1.5,.783,0.6,4.9,5.4,1.1,0.8,0.5,1.0,1.5,8.7,13.2,.540,.431,.208,3.0,25.5,14.1,7.3,1.9,2.1,11.2,18.5,0.1,1.2,1.2,.053,-1.6,0.1,-1.5,0.2,"$1,762,796"
Chris Boucher,PF,29,TOR,73,9,21.0,3.4,7.1,.472,0.8,2.8,.286,2.6,4.3,.592,.528,1.8,2.4,.771,2.2,4.0,6.2,0.3,0.6,0.9,0.5,2.2,9.4,18.2,.573,.391,.337,10.9,21.6,16.0,1.9,1.5,4.3,6.0,17.7,3.3,2.2,5.5,.171,0.5,-0.5,0.0,0.8,"$7,009,615"
